1959;322;2017-09-10 19:02:55;
1997;91;2017-09-10 19:02:55;
1998;31;2017-09-10 19:02:55;
1999;1;2017-09-10 19:02:55;
1997;91;2017-09-10 19:04:55;
1998;31;2017-09-10 19:04:55;
1999;1;2017-09-10 19:04:55;
1610;89;2017-09-10 19:04:55;
1612;2250;2017-09-10 19:04:55;
1613;291;2017-09-10 19:04:55;
1614;683;2017-09-10 19:04:55;
1617;581;2017-09-10 19:04:55;
1622;9;2017-09-10 19:04:55;
1630;541;2017-09-10 19:04:55;
1660;16;2017-09-10 19:04:55;
1951;2165;2017-09-10 19:04:55;
1959;323;2017-09-10 19:04:55;
1622;-1;2017-09-10 19:06:55;
1630;543;2017-09-10 19:06:55;
1660;16;2017-09-10 19:06:55;
1951;2171;2017-09-10 19:06:55;
1959;324;2017-09-10 19:06:55;
1997;89;2017-09-10 19:06:55;
1998;31;2017-09-10 19:06:55;
1999;1;2017-09-10 19:06:55;
1610;16;2017-09-10 19:06:55;
1612;2230;2017-09-10 19:06:55;
1613;290;2017-09-10 19:06:55;
1614;672;2017-09-10 19:06:55;
1617;581;2017-09-10 19:06:55;
1610;-5;2017-09-10 19:08:54;
1612;2227;2017-09-10 19:08:54;
1613;290;2017-09-10 19:08:54;
1614;677;2017-09-10 19:08:54;
1617;580;2017-09-10 19:08:54;
1622;-5;2017-09-10 19:08:54;
1630;544;2017-09-10 19:08:54;
1660;16;2017-09-10 19:08:54;
1951;2177;2017-09-10 19:08:54;
1959;324;2017-09-10 19:08:54;
1997;89;2017-09-10 19:08:54;
1998;31;2017-09-10 19:08:54;
1999;1;2017-09-10 19:08:54;
1997;90;2017-09-10 19:10:55;
1998;31;2017-09-10 19:10:55;
1999;1;2017-09-10 19:10:55;
1610;63;2017-09-10 19:10:55;
1612;2232;2017-09-10 19:10:55;
1613;289;2017-09-10 19:10:55;
1614;686;2017-09-10 19:10:55;
1617;578;2017-09-10 19:10:55;
1622;9;2017-09-10 19:10:55;
1630;541;2017-09-10 19:10:55;
1660;16;2017-09-10 19:10:55;
1951;2184;2017-09-10 19:10:55;
1959;325;2017-09-10 19:10:55;
1622;10;2017-09-10 19:12:54;
1630;537;2017-09-10 19:12:54;
1660;16;2017-09-10 19:12:54;
1951;2190;2017-09-10 19:12:54;
1959;326;2017-09-10 19:12:54;
1997;89;2017-09-10 19:12:54;
1998;31;2017-09-10 19:12:54;
1999;1;2017-09-10 19:12:54;
1610;94;2017-09-10 19:12:54;
1612;2248;2017-09-10 19:12:54;
1613;290;2017-09-10 19:12:54;
1614;691;2017-09-10 19:12:54;
1617;581;2017-09-10 19:12:54;
1610;15;2017-09-10 19:14:54;
1612;2230;2017-09-10 19:14:54;
1613;290;2017-09-10 19:14:54;
1614;672;2017-09-10 19:14:54;
1617;581;2017-09-10 19:14:54;
1622;-1;2017-09-10 19:14:54;
1630;543;2017-09-10 19:14:54;
1660;16;2017-09-10 19:14:54;
1951;2196;2017-09-10 19:14:54;
1959;327;2017-09-10 19:14:54;
1997;91;2017-09-10 19:14:54;
1998;31;2017-09-10 19:14:54;
1999;1;2017-09-10 19:14:54;
1997;90;2017-09-10 19:16:54;
1998;31;2017-09-10 19:16:54;
1999;1;2017-09-10 19:16:54;
1610;-8;2017-09-10 19:16:54;
1612;2226;2017-09-10 19:16:54;
1613;290;2017-09-10 19:16:54;
1614;679;2017-09-10 19:16:54;
1617;580;2017-09-10 19:16:54;
1622;-5;2017-09-10 19:16:54;
1630;543;2017-09-10 19:16:54;
1660;16;2017-09-10 19:16:54;
1951;2202;2017-09-10 19:16:54;
1959;328;2017-09-10 19:16:54;
1622;7;2017-09-10 19:18:55;
1630;541;2017-09-10 19:18:55;
1660;16;2017-09-10 19:18:55;
1951;2208;2017-09-10 19:18:55;
1959;329;2017-09-10 19:18:55;
1997;89;2017-09-10 19:18:55;
1998;31;2017-09-10 19:18:55;
1999;1;2017-09-10 19:18:55;
1610;49;2017-09-10 19:18:55;
1612;2237;2017-09-10 19:18:55;
1613;289;2017-09-10 19:18:55;
1614;676;2017-09-10 19:18:55;
1617;578;2017-09-10 19:18:55;
1610;92;2017-09-10 19:20:55;
1612;2246;2017-09-10 19:20:55;
1613;290;2017-09-10 19:20:55;
1614;688;2017-09-10 19:20:55;
1617;582;2017-09-10 19:20:55;
1622;9;2017-09-10 19:20:55;
1630;541;2017-09-10 19:20:55;
1660;16;2017-09-10 19:20:55;
1951;2215;2017-09-10 19:20:55;
1959;330;2017-09-10 19:20:55;
1997;90;2017-09-10 19:20:55;
1998;31;2017-09-10 19:20:55;
1999;1;2017-09-10 19:20:55;
1997;90;2017-09-10 19:22:55;
1998;31;2017-09-10 19:22:55;
1999;1;2017-09-10 19:22:55;
1610;22;2017-09-10 19:22:55;
1612;2238;2017-09-10 19:22:55;
1613;290;2017-09-10 19:22:55;
1614;670;2017-09-10 19:22:55;
1617;580;2017-09-10 19:22:55;
1622;-1;2017-09-10 19:22:55;
1630;541;2017-09-10 19:22:55;
1660;16;2017-09-10 19:22:55;
1951;2221;2017-09-10 19:22:55;
1959;331;2017-09-10 19:22:55;
1622;-5;2017-09-10 19:24:54;
1630;546;2017-09-10 19:24:54;
1660;16;2017-09-10 19:24:54;
1951;2227;2017-09-10 19:24:54;
1959;332;2017-09-10 19:24:54;
1997;89;2017-09-10 19:24:54;
1998;31;2017-09-10 19:24:54;
1999;1;2017-09-10 19:24:54;
1610;-7;2017-09-10 19:24:54;
1612;2229;2017-09-10 19:24:54;
1613;290;2017-09-10 19:24:54;
1614;679;2017-09-10 19:24:54;
1617;580;2017-09-10 19:24:54;
1610;30;2017-09-10 19:26:54;
1612;2230;2017-09-10 19:26:54;
1613;289;2017-09-10 19:26:54;
1614;672;2017-09-10 19:26:54;
1617;579;2017-09-10 19:26:54;
1622;4;2017-09-10 19:26:54;
1630;539;2017-09-10 19:26:54;
1660;16;2017-09-10 19:26:54;
1951;2233;2017-09-10 19:26:54;
1959;333;2017-09-10 19:26:54;
1997;91;2017-09-10 19:26:54;
1998;31;2017-09-10 19:26:54;
1999;1;2017-09-10 19:26:54;
1997;90;2017-09-10 19:28:54;
1998;31;2017-09-10 19:28:54;
1999;1;2017-09-10 19:28:54;
1610;101;2017-09-10 19:28:54;
1612;2251;2017-09-10 19:28:54;
1613;290;2017-09-10 19:28:54;
1614;700;2017-09-10 19:28:54;
1617;580;2017-09-10 19:28:54;
1622;11;2017-09-10 19:28:54;
1630;541;2017-09-10 19:28:54;
1660;16;2017-09-10 19:28:54;
1951;2240;2017-09-10 19:28:54;
1959;334;2017-09-10 19:28:54;
1622;-1;2017-09-10 19:30:55;
1630;544;2017-09-10 19:30:55;
1660;16;2017-09-10 19:30:55;
1951;2246;2017-09-10 19:30:55;
1959;335;2017-09-10 19:30:55;
1997;89;2017-09-10 19:30:55;
1998;31;2017-09-10 19:30:55;
1999;1;2017-09-10 19:30:55;
1610;18;2017-09-10 19:30:55;
1612;2231;2017-09-10 19:30:55;
1613;290;2017-09-10 19:30:55;
1614;670;2017-09-10 19:30:55;
1617;581;2017-09-10 19:30:55;
1610;-5;2017-09-10 19:32:55;
1612;2231;2017-09-10 19:32:55;
1613;290;2017-09-10 19:32:55;
1614;680;2017-09-10 19:32:55;
1617;580;2017-09-10 19:32:55;
1622;-5;2017-09-10 19:32:55;
1630;544;2017-09-10 19:32:55;
1660;16;2017-09-10 19:32:55;
1951;2252;2017-09-10 19:32:55;
1959;336;2017-09-10 19:32:55;
1997;90;2017-09-10 19:32:55;
1998;31;2017-09-10 19:32:55;
1999;1;2017-09-10 19:32:55;
1997;90;2017-09-10 19:34:55;
1998;31;2017-09-10 19:34:55;
1999;1;2017-09-10 19:34:55;
1610;39;2017-09-10 19:34:55;
1612;2234;2017-09-10 19:34:55;
1613;290;2017-09-10 19:34:55;
1614;672;2017-09-10 19:34:55;
1617;579;2017-09-10 19:34:55;
1622;4;2017-09-10 19:34:55;
1630;541;2017-09-10 19:34:55;
1660;16;2017-09-10 19:34:55;
1951;2258;2017-09-10 19:34:55;
1959;336;2017-09-10 19:34:55;
1622;12;2017-09-10 19:36:55;
1630;537;2017-09-10 19:36:55;
1660;16;2017-09-10 19:36:55;
1951;2265;2017-09-10 19:36:55;
1959;337;2017-09-10 19:36:55;
1997;89;2017-09-10 19:36:55;
1998;31;2017-09-10 19:36:55;
1999;1;2017-09-10 19:36:55;
1610;100;2017-09-10 19:36:55;
1612;2247;2017-09-10 19:36:55;
1613;290;2017-09-10 19:36:55;
1614;700;2017-09-10 19:36:55;
1617;581;2017-09-10 19:36:55;
1610;29;2017-09-10 19:38:55;
1612;2237;2017-09-10 19:38:55;
1613;290;2017-09-10 19:38:55;
1614;670;2017-09-10 19:38:55;
1617;582;2017-09-10 19:38:55;
1622;0;2017-09-10 19:38:55;
1630;543;2017-09-10 19:38:55;
1660;16;2017-09-10 19:38:55;
1951;2271;2017-09-10 19:38:55;
1959;338;2017-09-10 19:38:55;
1997;91;2017-09-10 19:38:55;
1998;31;2017-09-10 19:38:55;
1999;1;2017-09-10 19:38:55;
1997;90;2017-09-10 19:40:55;
1998;31;2017-09-10 19:40:55;
1999;1;2017-09-10 19:40:55;
1610;-5;2017-09-10 19:40:55;
1612;2229;2017-09-10 19:40:55;
1613;290;2017-09-10 19:40:55;
1614;679;2017-09-10 19:40:55;
1617;581;2017-09-10 19:40:55;
1622;-5;2017-09-10 19:40:55;
1630;540;2017-09-10 19:40:55;
1660;16;2017-09-10 19:40:55;
1951;2277;2017-09-10 19:40:55;
1959;339;2017-09-10 19:40:55;
1622;1;2017-09-10 19:42:55;
1630;541;2017-09-10 19:42:55;
1639;38;2017-09-10 19:42:55;
1660;16;2017-09-10 19:42:55;
1951;2283;2017-09-10 19:42:55;
1959;340;2017-09-10 19:42:55;
1997;90;2017-09-10 19:42:55;
1998;31;2017-09-10 19:42:55;
1999;1;2017-09-10 19:42:55;
1610;27;2017-09-10 19:42:55;
1612;2232;2017-09-10 19:42:55;
1613;290;2017-09-10 19:42:55;
1614;672;2017-09-10 19:42:55;
1617;578;2017-09-10 19:42:55;
1610;103;2017-09-10 19:44:54;
1612;2247;2017-09-10 19:44:54;
1613;290;2017-09-10 19:44:54;
1614;704;2017-09-10 19:44:54;
1617;581;2017-09-10 19:44:54;
1622;12;2017-09-10 19:44:54;
1630;537;2017-09-10 19:44:54;
1660;16;2017-09-10 19:44:54;
1951;2290;2017-09-10 19:44:54;
1959;341;2017-09-10 19:44:54;
1997;91;2017-09-10 19:44:54;
1998;31;2017-09-10 19:44:54;
1999;1;2017-09-10 19:44:54;
1997;89;2017-09-10 19:46:54;
1998;31;2017-09-10 19:46:54;
1999;1;2017-09-10 19:46:54;
1610;40;2017-09-10 19:46:54;
1612;2240;2017-09-10 19:46:54;
1613;291;2017-09-10 19:46:54;
1614;669;2017-09-10 19:46:54;
1617;582;2017-09-10 19:46:54;
1622;0;2017-09-10 19:46:54;
1630;540;2017-09-10 19:46:54;
1660;16;2017-09-10 19:46:54;
1951;2296;2017-09-10 19:46:54;
1959;342;2017-09-10 19:46:54;
1622;-5;2017-09-10 19:48:54;
1630;544;2017-09-10 19:48:54;
1660;16;2017-09-10 19:48:54;
1951;2302;2017-09-10 19:48:54;
1959;343;2017-09-10 19:48:54;
1997;89;2017-09-10 19:48:54;
1998;31;2017-09-10 19:48:54;
1999;1;2017-09-10 19:48:54;
1610;0;2017-09-10 19:48:54;
1612;2231;2017-09-10 19:48:54;
1613;290;2017-09-10 19:48:54;
1614;677;2017-09-10 19:48:54;
1617;580;2017-09-10 19:48:54;
1610;27;2017-09-10 19:50:55;
1612;2231;2017-09-10 19:50:55;
1613;290;2017-09-10 19:50:55;
1614;672;2017-09-10 19:50:55;
1617;580;2017-09-10 19:50:55;
1622;2;2017-09-10 19:50:55;
1630;538;2017-09-10 19:50:55;
1660;16;2017-09-10 19:50:55;
1951;2308;2017-09-10 19:50:55;
1959;344;2017-09-10 19:50:55;
1997;90;2017-09-10 19:50:55;
1998;31;2017-09-10 19:50:55;
1999;1;2017-09-10 19:50:55;
1997;89;2017-09-10 19:52:55;
1998;31;2017-09-10 19:52:55;
1999;1;2017-09-10 19:52:55;
1610;102;2017-09-10 19:52:55;
1612;2249;2017-09-10 19:52:55;
1613;290;2017-09-10 19:52:55;
1614;704;2017-09-10 19:52:55;
1617;580;2017-09-10 19:52:55;
1622;13;2017-09-10 19:52:55;
1630;537;2017-09-10 19:52:55;
1660;16;2017-09-10 19:52:55;
1951;2315;2017-09-10 19:52:55;
1959;345;2017-09-10 19:52:55;
1622;1;2017-09-10 19:54:55;
1630;538;2017-09-10 19:54:55;
1660;16;2017-09-10 19:54:55;
1951;2321;2017-09-10 19:54:55;
1959;346;2017-09-10 19:54:55;
1997;89;2017-09-10 19:54:55;
1998;31;2017-09-10 19:54:55;
1999;1;2017-09-10 19:54:55;
1610;41;2017-09-10 19:54:55;
1612;2238;2017-09-10 19:54:55;
1613;291;2017-09-10 19:54:55;
1614;669;2017-09-10 19:54:55;
1617;582;2017-09-10 19:54:55;
1610;0;2017-09-10 19:56:55;
1612;2229;2017-09-10 19:56:55;
1613;290;2017-09-10 19:56:55;
1614;677;2017-09-10 19:56:55;
1617;581;2017-09-10 19:56:55;
1622;-5;2017-09-10 19:56:55;
1630;543;2017-09-10 19:56:55;
1660;16;2017-09-10 19:56:55;
1951;2327;2017-09-10 19:56:55;
1959;347;2017-09-10 19:56:55;
1997;91;2017-09-10 19:56:55;
1998;31;2017-09-10 19:56:55;
1999;1;2017-09-10 19:56:55;
1997;89;2017-09-10 19:58:55;
1998;31;2017-09-10 19:58:55;
1999;1;2017-09-10 19:58:55;
1610;16;2017-09-10 19:58:55;
1612;2228;2017-09-10 19:58:55;
1613;289;2017-09-10 19:58:55;
1614;672;2017-09-10 19:58:55;
1617;579;2017-09-10 19:58:55;
1622;0;2017-09-10 19:58:55;
1630;536;2017-09-10 19:58:55;
1660;16;2017-09-10 19:58:55;
1951;2333;2017-09-10 19:58:55;
1959;347;2017-09-10 19:58:55;
1622;-5;2017-09-10 20:01:24;
1630;539;2017-09-10 20:01:24;
1660;16;2017-09-10 20:01:24;
1951;2341;2017-09-10 20:01:24;
1959;349;2017-09-10 20:01:24;
1997;91;2017-09-10 20:01:24;
1998;31;2017-09-10 20:01:24;
1999;1;2017-09-10 20:01:24;
1610;0;2017-09-10 20:01:24;
1612;2229;2017-09-10 20:01:24;
1613;290;2017-09-10 20:01:24;
1614;676;2017-09-10 20:01:24;
1617;580;2017-09-10 20:01:24;
1610;53;2017-09-10 20:02:54;
1612;2239;2017-09-10 20:02:54;
1613;291;2017-09-10 20:02:54;
1614;670;2017-09-10 20:02:54;
1617;581;2017-09-10 20:02:54;
1622;2;2017-09-10 20:02:54;
1630;536;2017-09-10 20:02:54;
1660;16;2017-09-10 20:02:54;
1951;2346;2017-09-10 20:02:54;
1959;349;2017-09-10 20:02:54;
1997;91;2017-09-10 20:02:54;
1998;31;2017-09-10 20:02:54;
1999;1;2017-09-10 20:02:54;
1997;90;2017-09-10 20:04:54;
1998;31;2017-09-10 20:04:54;
1999;1;2017-09-10 20:04:54;
1610;3;2017-09-10 20:04:54;
1612;2229;2017-09-10 20:04:54;
1613;290;2017-09-10 20:04:54;
1614;675;2017-09-10 20:04:54;
1617;581;2017-09-10 20:04:54;
1622;-4;2017-09-10 20:04:54;
1630;535;2017-09-10 20:04:54;
1660;16;2017-09-10 20:04:54;
1951;2352;2017-09-10 20:04:54;
1959;350;2017-09-10 20:04:54;
1622;-1;2017-09-10 20:06:54;
1630;535;2017-09-10 20:06:54;
1660;16;2017-09-10 20:06:54;
1951;2358;2017-09-10 20:06:54;
1959;351;2017-09-10 20:06:54;
1997;89;2017-09-10 20:06:54;
1998;31;2017-09-10 20:06:54;
1999;1;2017-09-10 20:06:54;
1610;12;2017-09-10 20:06:54;
1612;2231;2017-09-10 20:06:54;
1613;289;2017-09-10 20:06:54;
1614;672;2017-09-10 20:06:54;
1617;579;2017-09-10 20:06:54;
1610;97;2017-09-10 20:08:54;
1612;2247;2017-09-10 20:08:54;
1613;290;2017-09-10 20:08:54;
1614;701;2017-09-10 20:08:54;
1617;579;2017-09-10 20:08:54;
1622;13;2017-09-10 20:08:54;
1630;529;2017-09-10 20:08:54;
1660;16;2017-09-10 20:08:54;
1951;2365;2017-09-10 20:08:54;
1959;352;2017-09-10 20:08:54;
1997;91;2017-09-10 20:08:54;
1998;31;2017-09-10 20:08:54;
1999;1;2017-09-10 20:08:54;
1997;89;2017-09-10 20:10:55;
1998;31;2017-09-10 20:10:55;
1999;1;2017-09-10 20:10:55;
1610;46;2017-09-10 20:10:55;
1612;2239;2017-09-10 20:10:55;
1613;291;2017-09-10 20:10:55;
1614;670;2017-09-10 20:10:55;
1617;581;2017-09-10 20:10:55;
1622;2;2017-09-10 20:10:55;
1630;533;2017-09-10 20:10:55;
1660;16;2017-09-10 20:10:55;
1951;2371;2017-09-10 20:10:55;
1959;353;2017-09-10 20:10:55;
1622;-4;2017-09-10 20:12:55;
1630;534;2017-09-10 20:12:55;
1660;16;2017-09-10 20:12:55;
1951;2377;2017-09-10 20:12:55;
1959;354;2017-09-10 20:12:55;
1997;91;2017-09-10 20:12:55;
1998;31;2017-09-10 20:12:55;
1999;1;2017-09-10 20:12:55;
1610;4;2017-09-10 20:12:55;
1612;2232;2017-09-10 20:12:55;
1613;290;2017-09-10 20:12:55;
1614;675;2017-09-10 20:12:55;
1617;580;2017-09-10 20:12:55;
1610;12;2017-09-10 20:14:55;
1612;2228;2017-09-10 20:14:55;
1613;290;2017-09-10 20:14:55;
1614;672;2017-09-10 20:14:55;
1617;579;2017-09-10 20:14:55;
1622;-1;2017-09-10 20:14:55;
1630;533;2017-09-10 20:14:55;
1660;16;2017-09-10 20:14:55;
1951;2383;2017-09-10 20:14:55;
1959;355;2017-09-10 20:14:55;
1997;90;2017-09-10 20:14:55;
1998;31;2017-09-10 20:14:55;
1999;1;2017-09-10 20:14:55;
1997;89;2017-09-10 20:16:55;
1998;31;2017-09-10 20:16:55;
1999;1;2017-09-10 20:16:55;
1610;97;2017-09-10 20:16:55;
1612;2244;2017-09-10 20:16:55;
1613;290;2017-09-10 20:16:55;
1614;697;2017-09-10 20:16:55;
1617;580;2017-09-10 20:16:55;
1622;13;2017-09-10 20:16:55;
1630;529;2017-09-10 20:16:55;
1660;16;2017-09-10 20:16:55;
1951;2390;2017-09-10 20:16:55;
1959;356;2017-09-10 20:16:55;
1622;4;2017-09-10 20:18:55;
1630;532;2017-09-10 20:18:55;
1660;16;2017-09-10 20:18:55;
1951;2396;2017-09-10 20:18:55;
1959;357;2017-09-10 20:18:55;
1997;90;2017-09-10 20:18:55;
1998;31;2017-09-10 20:18:55;
1999;1;2017-09-10 20:18:55;
1610;60;2017-09-10 20:18:55;
1612;2243;2017-09-10 20:18:55;
1613;291;2017-09-10 20:18:55;
1614;672;2017-09-10 20:18:55;
1617;581;2017-09-10 20:18:55;
1610;4;2017-09-10 20:20:55;
1612;2231;2017-09-10 20:20:55;
1613;290;2017-09-10 20:20:55;
1614;675;2017-09-10 20:20:55;
1617;581;2017-09-10 20:20:55;
1622;-4;2017-09-10 20:20:55;
1630;537;2017-09-10 20:20:55;
1660;16;2017-09-10 20:20:55;
1951;2402;2017-09-10 20:20:55;
1959;358;2017-09-10 20:20:55;
1997;91;2017-09-10 20:20:55;
1998;31;2017-09-10 20:20:55;
1999;1;2017-09-10 20:20:55;
1997;89;2017-09-10 20:22:55;
1998;31;2017-09-10 20:22:55;
1999;1;2017-09-10 20:22:55;
1610;8;2017-09-10 20:22:55;
1612;2227;2017-09-10 20:22:55;
1613;290;2017-09-10 20:22:55;
1614;673;2017-09-10 20:22:55;
1617;579;2017-09-10 20:22:55;
1622;-1;2017-09-10 20:22:55;
1630;533;2017-09-10 20:22:55;
1660;16;2017-09-10 20:22:55;
1951;2408;2017-09-10 20:22:55;
1959;359;2017-09-10 20:22:55;
1622;12;2017-09-10 20:24:55;
1630;531;2017-09-10 20:24:55;
1660;16;2017-09-10 20:24:55;
1951;2415;2017-09-10 20:24:55;
1959;360;2017-09-10 20:24:55;
1997;90;2017-09-10 20:24:55;
1998;31;2017-09-10 20:24:55;
1999;1;2017-09-10 20:24:55;
1610;95;2017-09-10 20:24:55;
1612;2244;2017-09-10 20:24:55;
1613;290;2017-09-10 20:24:55;
1614;697;2017-09-10 20:24:55;
1617;580;2017-09-10 20:24:55;
1610;66;2017-09-10 20:26:55;
1612;2240;2017-09-10 20:26:55;
1613;291;2017-09-10 20:26:55;
1614;675;2017-09-10 20:26:55;
1617;582;2017-09-10 20:26:55;
1622;5;2017-09-10 20:26:55;
1630;531;2017-09-10 20:26:55;
1660;16;2017-09-10 20:26:55;
1951;2421;2017-09-10 20:26:55;
1959;361;2017-09-10 20:26:55;
1997;89;2017-09-10 20:26:55;
1998;31;2017-09-10 20:26:55;
1999;1;2017-09-10 20:26:55;
1997;89;2017-09-10 20:28:55;
1998;31;2017-09-10 20:28:55;
